steam_id,appid,game_name,playtime_forever,playtime_2weeks,engagement_ratio,game_count,recent_active_games,avg_playtime,top_game_ratio,status,status_label
76561198001122955,570,Dota 2,470299,4613,0.0098,13,4,61550.31,0.5878,0,ativo
76561198014290225,570,Dota 2,291188,428,0.0015,18,1,36481.28,0.4434,0,ativo
76561198046805754,570,Dota 2,188826,0,0.0,128,3,3399.28,0.434,2,churn
76561198057908863,570,Dota 2,180374,1,0.0,7,1,29625.86,0.8698,1,possivel_churn
76561198068671864,570,Dota 2,680722,2419,0.0036,39,1,21760.38,0.8021,0,ativo
76561198080564727,570,Dota 2,584343,525,0.0009,37,2,26229.46,0.6021,0,ativo
76561198088780084,578080,PUBG: BATTLEGROUNDS,35579,0,0.0,64,1,1389.42,0.4001,2,churn
76561198097585493,570,Dota 2,464480,0,0.0,22,0,30553.0,0.691,2,churn
76561198098143489,570,Dota 2,324368,342,0.0011,66,1,6668.02,0.7371,0,ativo
76561198101349982,570,Dota 2,513762,4178,0.0081,14,1,36868.57,0.9954,0,ativo
76561198113224863,570,Dota 2,223489,0,0.0,60,3,6923.72,0.538,2,churn
76561198118168253,570,Dota 2,206131,0,0.0,77,1,6299.31,0.425,2,churn
76561198121414322,570,Dota 2,320758,1106,0.0034,3,1,108545.33,0.985,0,ativo
76561198131089477,570,Dota 2,248715,0,0.0,54,0,5933.65,0.7762,2,churn
76561198151493790,570,Dota 2,279994,821,0.0029,11,2,38436.64,0.6622,0,ativo
76561198154218091,578080,PUBG: BATTLEGROUNDS,125548,3210,0.0256,159,1,2072.95,0.3809,0,ativo
76561198155301781,730,Counter-Strike 2,303737,1986,0.0065,30,3,14299.03,0.7081,0,ativo
76561198257838784,730,Counter-Strike 2,186946,0,0.0,31,0,14197.77,0.4248,2,churn
76561198300885089,730,Counter-Strike 2,110280,0,0.0,26,1,5036.62,0.8421,2,churn
76561198321853005,730,Counter-Strike 2,26009,0,0.0,11,0,2875.18,0.8224,2,churn
76561198329487714,578080,PUBG: BATTLEGROUNDS,243120,0,0.0,16,1,35001.12,0.4341,2,churn
76561198352899959,730,Counter-Strike 2,6252,0,0.0,5,0,1364.0,0.9167,2,churn
76561198860630877,730,Counter-Strike 2,351412,2017,0.0057,39,1,9434.38,0.9551,0,ativo
76561197962637490,730,Counter-Strike 2,836270,505,0.0006,24,1,58377.08,0.5969,0,ativo
76561197980097044,730,Counter-Strike 2,221217,320,0.0014,27,1,13706.22,0.5978,0,ativo
76561197985469516,730,Counter-Strike 2,157658,0,0.0,15,0,14570.13,0.7214,2,churn
76561197985485745,730,Counter-Strike 2,61576,2,0.0,10,1,9887.3,0.6228,1,possivel_churn
76561197990698643,570,Dota 2,227044,93,0.0004,17,3,27683.88,0.4824,1,possivel_churn
76561197993967644,730,Counter-Strike 2,218132,0,0.0,187,1,4866.49,0.2397,2,churn
76561197999159254,730,Counter-Strike 2,377807,1687,0.0045,13,1,34345.62,0.8462,0,ativo
76561198002233998,730,Counter-Strike 2,34587,59,0.0017,9,1,7375.0,0.5211,1,possivel_churn
76561198011855482,570,Dota 2,108878,0,0.0,5,0,23102.0,0.9426,2,churn
76561198012204616,730,Counter-Strike 2,80646,73,0.0009,19,1,10682.11,0.3973,1,possivel_churn
76561198019099191,730,Counter-Strike 2,388200,3184,0.0082,24,2,24204.67,0.6683,0,ativo
76561198019688805,570,Dota 2,455939,177,0.0004,16,1,37757.38,0.7547,1,possivel_churn
76561198030689082,570,Dota 2,133563,0,0.0,511,10,1283.56,0.2036,2,churn
76561198035995585,730,Counter-Strike 2,1006696,7123,0.0071,246,1,5528.61,0.7402,0,ativo
76561198036603969,730,Counter-Strike 2,304826,0,0.0,4,0,76247.0,0.9995,2,churn
76561198039225456,730,Counter-Strike 2,282578,3033,0.0107,10,1,30664.4,0.9215,0,ativo
76561198051481563,730,Counter-Strike 2,66148,0,0.0,215,0,1982.05,0.1552,2,churn
76561198059375476,730,Counter-Strike 2,212874,0,0.0,22,0,14518.59,0.6665,2,churn
76561198066104932,570,Dota 2,155260,0,0.0,434,2,1498.61,0.2387,2,churn
76561198070925411,730,Counter-Strike 2,48090,0,0.0,30,0,2096.8,0.7645,2,churn
76561198077096036,570,Dota 2,242047,0,0.0,69,0,6187.93,0.5669,2,churn
76561198079621667,570,Dota 2,54031,0,0.0,74,0,4299.03,0.1698,2,churn
76561198082572977,570,Dota 2,129290,0,0.0,83,0,2867.66,0.5432,2,churn
76561198092902121,570,Dota 2,474669,0,0.0,97,7,5805.66,0.8429,2,churn
76561198100337492,570,Dota 2,493430,0,0.0,3,0,164700.33,0.9986,2,churn
76561198107684587,570,Dota 2,175239,0,0.0,2,0,91058.0,0.9622,2,churn
76561198112939646,570,Dota 2,1113603,0,0.0,24,0,60493.25,0.767,2,churn
76561198113363744,570,Dota 2,596029,43,0.0001,43,2,18053.14,0.7678,1,possivel_churn
76561198130810691,730,Counter-Strike 2,376151,0,0.0,13,0,32789.77,0.8824,2,churn
76561198138596297,570,Dota 2,409847,794,0.0019,32,1,18693.03,0.6852,0,ativo
76561198175137938,570,Dota 2,215404,0,0.0,22,0,10354.27,0.9456,2,churn
76561198199154405,570,Dota 2,319979,716,0.0022,16,2,22185.19,0.9014,0,ativo
76561198279349125,730,Counter-Strike 2,20469,0,0.0,16,2,4406.62,0.2903,2,churn
76561198841460725,730,Counter-Strike 2,85021,74,0.0009,93,2,1698.15,0.5384,1,possivel_churn
76561198844322748,730,Counter-Strike 2,129212,940,0.0073,124,2,1612.58,0.6462,0,ativo
76561198862285939,730,Counter-Strike 2,85327,1046,0.0123,21,1,4993.24,0.8137,0,ativo
76561199212568014,730,Counter-Strike 2,172857,1857,0.0107,30,2,8196.83,0.7029,0,ativo
76561199277004631,730,Counter-Strike 2,40412,0,0.0,51,2,1136.76,0.6971,2,churn
76561199404771565,730,Counter-Strike 2,30992,1086,0.035,14,3,2999.71,0.738,0,ativo
76561199488218253,730,Counter-Strike 2,79652,0,0.0,3,0,26679.33,0.9952,2,churn
76561199502085919,730,Counter-Strike 2,134680,871,0.0065,1,1,134680.0,1.0,0,ativo
76561199559050945,730,Counter-Strike 2,97389,217,0.0022,14,5,8324.29,0.8357,1,possivel_churn
76561199631484155,730,Counter-Strike 2,48402,105,0.0022,25,2,2555.16,0.7577,1,possivel_churn
76561197987965452,730,Counter-Strike 2,154521,907,0.0059,11,1,15123.0,0.9289,0,ativo
76561197991597679,570,Dota 2,100785,689,0.0068,71,3,3991.44,0.3556,0,ativo
76561198004110096,730,Counter-Strike 2,358938,394,0.0011,81,2,6689.6,0.6624,0,ativo
76561198004157113,570,Dota 2,443050,411,0.0009,136,5,6606.6,0.4931,0,ativo
76561198051236830,570,Dota 2,398198,1,0.0,192,3,5425.79,0.3822,1,possivel_churn
76561198053246307,730,Counter-Strike 2,163749,0,0.0,28,0,6867.18,0.8516,2,churn
76561198064874510,570,Dota 2,683580,1105,0.0016,51,3,16372.59,0.8187,0,ativo
76561198065875317,730,Counter-Strike 2,459086,0,0.0,83,2,17177.24,0.322,2,churn
76561198084665146,570,Dota 2,263633,0,0.0,2,1,216137.5,0.6099,2,churn
76561198089515268,570,Dota 2,301681,2373,0.0079,73,1,6530.22,0.6328,0,ativo
76561198096017201,570,Dota 2,273820,0,0.0,7,0,44467.71,0.8797,2,churn
76561198110371645,570,Dota 2,100450,0,0.0,5,0,29370.8,0.684,2,churn
76561198117301576,570,Dota 2,1006455,0,0.0,11,0,91895.55,0.9957,2,churn
76561198133026547,570,Dota 2,172135,0,0.0,49,0,4593.51,0.7648,2,churn
76561198145775505,730,Counter-Strike 2,78242,0,0.0,10,0,8515.2,0.9189,2,churn
